row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_A,prob_B,prob_C,prob_max,margin_top2,review_flag,auto_accept,model_version,selection_reason,priority_rank
122,0001376339_2020_4,16,"deficiencies in control activities contributed to the potential for there to have been material accounting errors in several financial statement account balances and disclosures, specifically.",deficiencies in control activities contributed to the potential for there to have been material accounting errors in several financial statement account balances and disclosures specifically,2020-12-31,1376339,"control activities the control deficiencies identified specific to the control activities coso element constitute material weaknesses, either individually or in the aggregate, relating to. the operation of control activities that contribute to the mitigation of risks and 79 support achievement of objectives for a sufficient period of time during the year ended december 31, 2020 and (ii) deploying control activities through policies that establish what is expected and procedures that put policies into action.",control activities the control deficiencies identified specific to the control activities coso element constitute material weaknesses either individually or in the aggregate relating to the operation of control activities that contribute to the mitigation of risks and <num> support achievement of objectives for a sufficient period of time during the year ended <month> <num> <year> and ii deploying control activities through policies that establish what is expected and procedures that put policies into action,190,0,0,B,0,other,0,1,0,False,False,10.0,0,0,trainval,A,0.7559516770837885,0.075810162186537,0.1682381607296744,0.7559516770837885,0.5877135163541141,1,0,e5_logreg,disagreement,11
182,0001401257_2017_4,8,"this adjustment was recorded prior to the issuance of the company’s consolidated financial statements as of and for the fiscal year ended december 31, 2017.",this adjustment was recorded prior to the issuance of the company s consolidated financial statements as of and for the fiscal year ended <month> <num> <year>,2017-12-31,1401257,"this control deficiency resulted in an adjustment to the gain realized upon the consolidation of global tubing, llc.",this control deficiency resulted in an adjustment to the gain realized upon the consolidation of global tubing llc,158,0,1,A,0,other,1,0,0,False,False,16.0,0,0,trainval,C,0.345211924878239,0.2602361199374874,0.3945519551842735,0.3945519551842735,0.0493400303060345,1,0,e5_logreg,disagreement,12
197,0000828146_2005_4,13,at the direction of our.,at the direction of our,2005-12-31,828146,"while these adjustments were correctly identified and made as a result of a review of the financial statements, this material weakness prevented us from filing our quarterly report on form 10-q for the quarter ended september 30, 2005 and our annual report on form 10-k for the year ended december 31, 2005 in a timely manner.",while these adjustments were correctly identified and made as a result of a review of the financial statements this material weakness prevented us from filing our quarterly report on form <num> q for the quarter ended <month> <num> <year> and our annual report on form <num> k for the year ended <month> <num> <year> in a timely manner,23,1,0,C,0,background,0,0,0,False,False,14.0,0,1,test,C,0.0017155859924612,0.4906325174738409,0.5076518965336979,0.5076518965336979,0.017019379059857,1,0,e5_logreg,margin,13
217,0001036968_2006_4,18,"2) the material weakness in our control environment contributed to the existence of the following control deficiencies, each of which is considered to be a material weakness. a) we did not maintain effective controls over our process to ensure the complete, accurate and timely preparation and review of our consolidated financial statements in accordance with gaap.",<num> the material weakness in our control environment contributed to the existence of the following control deficiencies each of which is considered to be a material weakness a we did not maintain effective controls over our process to ensure the complete accurate and timely preparation and review of our consolidated financial statements in accordance with gaap,2006-12-31,1036968,"these control deficiencies affect substantially all financial statement accounts, which could result in a material misstatement to our interim or annual consolidated financial statements that would not be prevented or detected.",these control deficiencies affect substantially all financial statement accounts which could result in a material misstatement to our interim or annual consolidated financial statements that would not be prevented or detected,364,0,0,C,0,background,0,0,0,True,False,,0,1,trainval,A,0.460461453095052,0.14503565505025,0.3945028918546979,0.460461453095052,0.065958561240354,1,0,e5_logreg,diversity,14
249,0001137861_2006_4,13,the calculation of depreciation expense will continue to be reviewed on a monthly basis as part of our internal control over financial reporting.,the calculation of depreciation expense will continue to be reviewed on a monthly basis as part of our internal control over financial reporting,2006-12-31,1137861,"additionally, the method for capturing the proper cost basis of these assets has been revised to appropriately calculate depreciation expense in the future.",additionally the method for capturing the proper cost basis of these assets has been revised to appropriately calculate depreciation expense in the future,144,0,0,B,0,other,0,1,0,False,False,9.0,0,0,trainval,B,0.0024078065303065,0.5014569680430986,0.4961352254265948,0.5014569680430986,0.0053217426165038,1,0,e5_logreg,margin,15
258,0000922487_2007_4,10,"102 (sab no. 102), due primarily to documentation deficiencies and the failure to obtain updated appraisals; and .",<num> sab no <num> due primarily to documentation deficiencies and the failure to obtain updated appraisals and,2007-12-31,922487,114 (sfas no. 114) and sec staff accounting bulletin no.,<num> sfas no <num> and sec staff accounting bulletin no,111,1,0,B,0,other,0,1,0,False,False,4.0,0,0,trainval,A,0.392127228689097,0.2347948262337955,0.3730779450771074,0.392127228689097,0.0190492836119896,1,0,e5_logreg,margin,16
295,0001003111_2006_4,12,stevenson . /s/ eric j.,stevenson s eric j,2006-09-30,1003111,"as a result of the insufficient resources the company did not adequately address the accounting and disclosures for complex transactions, properly monitor internal controls and did not perform a timely and adequate evaluation of general computer controls.",as a result of the insufficient resources the company did not adequately address the accounting and disclosures for complex transactions properly monitor internal controls and did not perform a timely and adequate evaluation of general computer controls,18,1,0,C,0,background,0,0,0,False,False,,0,1,test,C,0.0020147429468711,0.4954105729121574,0.5025746841409713,0.5025746841409713,0.0071641112288138,1,0,e5_logreg,margin,17
328,0000317477_2010_4,17,"during the year ended september 30, 2010, the company improved certain internal controls over financial reporting related to material weaknesses that were identified as of september 30, 2009, as follows.",during the year ended <month> <num> <year> the company improved certain internal controls over financial reporting related to material weaknesses that were identified as of <month> <num> <year> as follows,2010-09-30,317477,· inventory costing and management process over on-hand inventory and inventory on consignment · information technology controls and related systems · financial close and reporting these material weaknesses related to the entity as a whole affect all of our significant accounts and could result in a material misstatement to our annual or interim consolidated financial statements that would not be prevented or detected.,inventory costing and management process over on hand inventory and inventory on consignment information technology controls and related systems financial close and reporting these material weaknesses related to the entity as a whole affect all of our significant accounts and could result in a material misstatement to our annual or interim consolidated financial statements that would not be prevented or detected,204,0,0,C,0,effect,0,0,0,False,False,35.0,0,1,test,B,0.0118072585116102,0.705860125169199,0.2823326163191906,0.705860125169199,0.4235275088500084,0,1,e5_logreg,disagreement,18
334,0000317477_2010_4,23,"(4) in march 2010, the company implemented a financial planning and analysis (fp&a) process, which included creating a complete consolidated and departmental fiscal 2010 annual budget.",<num> in <month> <year> the company implemented a financial planning and analysis fp a process which included creating a complete consolidated and departmental fiscal <year> annual budget,2010-09-30,317477,"transactions are now processed and reported by the accounting department, our legal department reviews contractual terms, and accounting executives perform a complete review of inputs and outputs prior to recording in the general ledger.",transactions are now processed and reported by the accounting department our legal department reviews contractual terms and accounting executives perform a complete review of inputs and outputs prior to recording in the general ledger,187,0,0,C,0,background,0,0,0,False,False,35.0,0,1,test,B,0.0013099541548602,0.5105126851556833,0.4881773606894565,0.5105126851556833,0.0223353244662267,1,0,e5_logreg,margin,19
372,0000717954_2023_4,15,the material weakness as of the end of fiscal 2023 includes deficiencies in our manage change and manage access processes that were not designed and operating effectively as of date of our assessment.,the material weakness as of the end of fiscal <year> includes deficiencies in our manage change and manage access processes that were not designed and operating effectively as of date of our assessment,2023-08-26,717954,"while we worked during fiscal 2023 to remediate the previously identified material weakness, we were unable to fully remediate the material weakness prior to the end of fiscal 2023.",while we worked during fiscal <year> to remediate the previously identified material weakness we were unable to fully remediate the material weakness prior to the end of fiscal <year>,201,0,0,B,0,other,0,1,0,False,False,14.0,0,0,trainval,C,0.1365909495458076,0.4303311559865965,0.4330778944675959,0.4330778944675959,0.0027467384809994,1,0,e5_logreg,margin,20
386,0000063276_2024_4,10,"completed remediation actions as previously disclosed in item 8 of our annual report on form 10-k for the fiscal year ended december 31, 2023, management identified that software program change monitoring controls were not effectively designed to detect inappropriate changes to certain information technology systems.",completed remediation actions as previously disclosed in item <num> of our annual report on form <num> k for the fiscal year ended <month> <num> <year> management identified that software program change monitoring controls were not effectively designed to detect inappropriate changes to certain information technology systems,2024-12-31,63276,"the control deficiencies described above did not result in a material misstatement to mattel’s consolidated financial statements; however, those deficiencies raise a reasonable possibility that a material misstatement to the consolidated financial statements would not be prevented or detected on a timely basis.",the control deficiencies described above did not result in a material misstatement to mattel s consolidated financial statements however those deficiencies raise a reasonable possibility that a material misstatement to the consolidated financial statements would not be prevented or detected on a timely basis,326,0,0,B,0,other,0,1,0,False,True,10.0,0,0,trainval,C,0.0134791756272623,0.4888168605809294,0.4977039637918083,0.4977039637918083,0.0088871032108789,1,0,e5_logreg,margin,21
404,0001014739_2005_4,15,"ineffective controls over the documentation, approval, testing and migration of system changes to production environments.",ineffective controls over the documentation approval testing and migration of system changes to production environments,2005-12-31,1014739,lack of monitoring controls over personnel in the information technology function with access to the production databases supporting the general ledger financial data; and .,lack of monitoring controls over personnel in the information technology function with access to the production databases supporting the general ledger financial data and,119,1,0,C,0,background,0,0,0,False,False,28.0,0,1,trainval,B,0.0075333398331203,0.5076509102608943,0.4848157499059853,0.5076509102608943,0.0228351603549089,1,0,e5_logreg,margin,22
411,0001014739_2005_4,23,ineffective processes and controls to ensure timely application of customer payments to customer accounts receivable; and .,ineffective processes and controls to ensure timely application of customer payments to customer accounts receivable and,2005-12-31,1014739,ineffective processes and controls to ensure timely collection efforts on past due outstanding accounts receivable; .,ineffective processes and controls to ensure timely collection efforts on past due outstanding accounts receivable,120,1,0,C,0,background,0,0,0,False,False,28.0,0,1,trainval,C,0.0130090439777579,0.4895375365037748,0.4974534195184672,0.4974534195184672,0.0079158830146923,1,0,e5_logreg,margin,23
461,0001144519_2007_4,12,bunge limited processes a significant number of intercompany transactions on a monthly basis relating primarily to sales of agricultural commodities and commodity products among business units.,bunge limited processes a significant number of intercompany transactions on a monthly basis relating primarily to sales of agricultural commodities and commodity products among business units,2007-12-31,1144519,"in management's assessment of the effectiveness of bunge's internal control over financial reporting as of december 31, 2007, management determined that there were two control deficiencies that constituted material weaknesses.",in management s assessment of the effectiveness of bunge s internal control over financial reporting as of <month> <num> <year> management determined that there were two control deficiencies that constituted material weaknesses,192,0,0,C,0,background,0,0,0,False,False,19.0,0,1,trainval,B,0.0047808222594756,0.5075071304782063,0.487712047262318,0.5075071304782063,0.0197950832158882,1,0,e5_logreg,margin,24
468,0001144519_2007_4,20,"other than the material weaknesses described above, there has been no change in our internal control over financial reporting during the fourth fiscal quarter ended december 31, 2007 that has materially affected, or is reasonably likely to materially affect, our internal control over financial reporting.",other than the material weaknesses described above there has been no change in our internal control over financial reporting during the fourth fiscal quarter ended <month> <num> <year> that has materially affected or is reasonably likely to materially affect our internal control over financial reporting,2007-12-31,1144519,"deloitte & touche llp, the independent registered public accounting firm that audited bunge limited's consolidated financial statements included in this annual report on form 10-k, have also issued an attestation report on internal control over financial reporting, which is included herein on page f-3.",deloitte touche llp the independent registered public accounting firm that audited bunge limited s consolidated financial statements included in this annual report on form <num> k have also issued an attestation report on internal control over financial reporting which is included herein on page f <num>,304,0,0,B,0,other,0,1,0,False,False,19.0,0,0,trainval,C,0.063614962263016,0.4650715125544167,0.4713135251825671,0.4713135251825671,0.0062420126281503,1,0,e5_logreg,margin,25
474,0001144519_2007_4,26,"all such transaction types identified for 2007, 2006 and 2005 have been reviewed with bunge's corporate controller's group to assure appropriate accounting treatment and financial statement presentation.",all such transaction types identified for <year> <year> and <year> have been reviewed with bunge s corporate controller s group to assure appropriate accounting treatment and financial statement presentation,2007-12-31,1144519,bunge limited's business units have conducted reviews to identify transactions with characteristics of a financial nature.,bunge limited s business units have conducted reviews to identify transactions with characteristics of a financial nature,207,0,0,B,0,other,0,1,0,False,False,19.0,0,0,trainval,B,0.003219401370665,0.6148409531673905,0.3819396454619443,0.6148409531673905,0.2329013077054462,1,0,e5_logreg,diversity,26
503,0001311241_2015_4,11,"the errors related to the statement of cash flows and inventory were not material but, when aggregated, could have been material.",the errors related to the statement of cash flows and inventory were not material but when aggregated could have been material,2015-12-31,1311241,"the deficiencies led to errors in these accounts, which were corrected prior to the issuance of the financial statements.",the deficiencies led to errors in these accounts which were corrected prior to the issuance of the financial statements,126,1,0,C,0,background,0,0,0,False,False,15.0,0,1,trainval,A,0.7447067646079608,0.0673789653878465,0.1879142700041924,0.7447067646079608,0.5567924946037683,1,0,e5_logreg,disagreement,27
510,0001311241_2015_4,20,"if our efforts to remediate these material weaknesses are not successful or if other deficiencies occur, our ability to accurately and timely report our financial position, results of operations, cash flows or key operating metrics could be impaired, which could result in late filings of our annual and quarterly reports under the exchange act, restatements of our consolidated financial statements or other corrective disclosures.",if our efforts to remediate these material weaknesses are not successful or if other deficiencies occur our ability to accurately and timely report our financial position results of operations cash flows or key operating metrics could be impaired which could result in late filings of our annual and quarterly reports under the exchange act restatements of our consolidated financial statements or other corrective disclosures,2015-12-31,1311241,"we cannot assure you that we will be able to remediate our existing material weaknesses in a timely manner, if at all, or that in the future, additional material weaknesses will not exist, reoccur or otherwise be discovered, a risk that is significantly increased in light of the complexity of our business.",we cannot assure you that we will be able to remediate our existing material weaknesses in a timely manner if at all or that in the future additional material weaknesses will not exist reoccur or otherwise be discovered a risk that is significantly increased in light of the complexity of our business,426,0,0,C,1,effect,1,1,0,False,True,15.0,1,0,trainval,A,0.6142512699719932,0.2971496399516232,0.0885990900763836,0.6142512699719932,0.31710163002037,1,0,e5_logreg,disagreement,28
542,0000890801_2005_4,6,"in performing the assessment, our management has identified one material weakness in internal control over financial reporting as of december 31, 2005 that relates to our financial close process.",in performing the assessment our management has identified one material weakness in internal control over financial reporting as of <month> <num> <year> that relates to our financial close process,2005-12-31,890801,"in making this assessment, management used the criteria set forth in the internal control — integrated framework by the committee of sponsoring organizations of the treadway commission, or coso.",in making this assessment management used the criteria set forth in the internal control integrated framework by the committee of sponsoring organizations of the treadway commission or coso,196,0,0,C,0,status,0,0,0,False,False,8.0,0,1,trainval,C,0.0353570475114804,0.2400614055789589,0.7245815469095606,0.7245815469095606,0.4845201413306016,1,0,e5_logreg,diversity,29
545,0000890801_2005_4,10,"because the controls did not operate consistently in a timely manner throughout the interim periods of 2005, there was insufficient evidence at december 31, 2005 to demonstrate that the 2004 material weakness related to the financial close process had been remediated.",because the controls did not operate consistently in a timely manner throughout the interim periods of <year> there was insufficient evidence at <month> <num> <year> to demonstrate that the <year> material weakness related to the financial close process had been remediated,2005-12-31,890801,"further, management believes many of the errors were identified as a direct result of our ongoing remediation efforts.",further management believes many of the errors were identified as a direct result of our ongoing remediation efforts,273,0,0,B,0,other,0,1,0,False,True,8.0,0,0,trainval,C,0.3777161079872902,0.2308050285060961,0.3914788635066136,0.3914788635066136,0.0137627555193233,1,0,e5_logreg,margin,30
569,0001285224_2010_4,19,provision for loan losses.,provision for loan losses,2010-12-31,1285224,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer.,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer,25,1,0,C,0,background,0,0,0,False,False,26.0,0,1,trainval,B,0.0417269587399074,0.7285194644886532,0.2297535767714392,0.7285194644886532,0.498765887717214,0,1,e5_logreg,disagreement,31
582,0001285224_2010_4,35,"because of the material weakness as previously described, there was a change in our internal controls over financial reporting during the year ended december 31, 2010 that materially affected, or are reasonably likely to materially affect, our internal controls over financial reporting.",because of the material weakness as previously described there was a change in our internal controls over financial reporting during the year ended <month> <num> <year> that materially affected or are reasonably likely to materially affect our internal controls over financial reporting,2010-12-31,1285224,"although the company's remediation efforts are well underway and are expected to be completed in the near future, the company's weaknesses will not be considered remediated until new internal controls are operational for a period of time and are tested, and management and concludes that these controls are operating effectively.",although the company s remediation efforts are well underway and are expected to be completed in the near future the company s weaknesses will not be considered remediated until new internal controls are operational for a period of time and are tested and management and concludes that these controls are operating effectively,286,0,0,B,0,other,0,1,0,False,False,26.0,0,0,trainval,A,0.3544330981523926,0.3454281670460977,0.3001387348015096,0.3544330981523926,0.0090049311062948,1,0,e5_logreg,margin,32
583,0000783412_2014_4,9,"as a small company, we have seven experienced employees in the accounting department, and three in the it department.",as a small company we have seven experienced employees in the accounting department and three in the it department,2014-09-30,783412,,,114,1,0,C,0,background,0,0,0,False,False,,0,1,trainval,C,0.0015767629861387,0.4986587884102864,0.499764448603575,0.499764448603575,0.0011056601932886,1,0,e5_logreg,margin,33
591,0000783412_2014_4,18,"accordingly, we believe our overall internal control environment is sufficient for a company of our size.",accordingly we believe our overall internal control environment is sufficient for a company of our size,2014-09-30,783412,"in addition, we believe our most important internal control is our hiring and retention of honest and capable people, whom we trust to do their jobs well.",in addition we believe our most important internal control is our hiring and retention of honest and capable people whom we trust to do their jobs well,103,1,1,C,0,background,0,0,0,False,False,,0,1,trainval,C,0.0003622961173533,0.4983161009048313,0.5013216029778155,0.5013216029778155,0.0030055020729841,1,0,e5_logreg,margin,34
600,0000783412_2014_4,27,"also, the company’s consolidated financial statements in item 8.",also the company s consolidated financial statements in item <num>,2014-09-30,783412,"bdo usa, llp, the company’s independent registered public accounting firm, has included an attestation report on our internal control over financial reporting, which appears below.",bdo usa llp the company s independent registered public accounting firm has included an attestation report on our internal control over financial reporting which appears below,66,1,0,C,0,background,0,0,0,False,False,,0,1,trainval,C,0.0393097372579778,0.2815418572592484,0.6791484054827737,0.6791484054827737,0.3976065482235252,1,0,e5_logreg,diversity,35
605,0000317788_2016_4,15,"remedial actions the material weakness we identified associated with the financial close and reporting process arises primarily from . a lack of a sufficient complement of accounting and financial reporting personnel who were unable to implement formal accounting policies with an appropriate level of accounting knowledge and experience commensurate with our financial reporting requirements, and (ii) inadequate accounting systems including information technology systems directly related to financial statement processes and a heavy reliance on manual processes.",remedial actions the material weakness we identified associated with the financial close and reporting process arises primarily from a lack of a sufficient complement of accounting and financial reporting personnel who were unable to implement formal accounting policies with an appropriate level of accounting knowledge and experience commensurate with our financial reporting requirements and ii inadequate accounting systems including information technology systems directly related to financial statement processes and a heavy reliance on manual processes,2016-03-31,317788,"this report is included in part ii, item 8 of this 10k.",this report is included in part ii item <num> of this 10k,559,0,0,B,0,other,0,1,0,False,True,15.0,0,0,trainval,B,0.1016310972036866,0.4543389071405328,0.4440299956557805,0.4543389071405328,0.0103089114847523,1,0,e5_logreg,margin,36
608,0000317788_2016_4,18,"hired a chief accounting officer “cao” on february 27, 2015 (who recently resigned; mr.",hired a chief accounting officer cao on <month> <num> <year> who recently resigned mr,2016-03-31,317788,completed actions .,completed actions,85,1,0,B,0,other,0,1,0,False,False,15.0,0,0,trainval,C,0.0047760811003235,0.4912399099269106,0.5039840089727657,0.5039840089727657,0.0127440990458551,1,0,e5_logreg,margin,37
635,0000028823_2018_4,19,"as these deficiencies created a reasonable possibility that a material misstatement would not be prevented or detected in a timely basis, management concluded that the control deficiencies represent material weaknesses and accordingly our internal control over financial reporting was not effective as of december 31, 2018.",as these deficiencies created a reasonable possibility that a material misstatement would not be prevented or detected in a timely basis management concluded that the control deficiencies represent material weaknesses and accordingly our internal control over financial reporting was not effective as of <month> <num> <year>,2018-12-31,28823,"these control deficiencies resulted in misstatements to goodwill impairment, inventory and redeemable non-controlling interests all of which were corrected prior to issuance of the company’s consolidated financial statements as of and for the year ended december 31, 2018 included in this annual report on form 10-k.",these control deficiencies resulted in misstatements to goodwill impairment inventory and redeemable non controlling interests all of which were corrected prior to issuance of the company s consolidated financial statements as of and for the year ended <month> <num> <year> included in this annual report on form <num> k,324,0,0,A,0,other,1,0,0,True,False,22.0,0,0,trainval,A,0.460190075532525,0.0877974776620178,0.4520124468054571,0.460190075532525,0.0081776287270678,1,0,e5_logreg,margin,38
647,0000014846_2019_4,12,"the material weakness impacts our consolidated balance sheets, the consolidated statements of operations, the consolidated statements of operations and the statement of cash flows.",the material weakness impacts our consolidated balance sheets the consolidated statements of operations the consolidated statements of operations and the statement of cash flows,2019-12-31,14846,"accordingly, we have de-consolidated the accounts and operations of the previously consolidated ventures in our consolidated financial statements included herein.",accordingly we have de consolidated the accounts and operations of the previously consolidated ventures in our consolidated financial statements included herein,177,0,0,C,0,background,0,0,0,False,False,,0,1,trainval,A,0.560593001428107,0.2471690028982914,0.1922379956736016,0.560593001428107,0.3134239985298155,1,0,e5_logreg,disagreement,39
