row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,selection_reason,priority_rank,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
376,0000717954_2023_4,19,"following identification of the material weakness and prior to filing this annual report on form 10-k, we completed substantive procedures for the year ended august 26, 2023 over our revenue, accounts receivable, supply inventory and merchandise in service.",following identification of the material weakness and prior to filing this annual report on form <num> k we completed substantive procedures for the year ended <month> <num> <year> over our revenue accounts receivable supply inventory and merchandise in service,2023-08-26,717954,"our independent registered accounting firm, ernst & young llp has issued an adverse audit report on the effectiveness of our internal control over financial reporting as of august 26, 2023, which is included in item 8 of this annual report on form 10-k.",our independent registered accounting firm ernst young llp has issued an adverse audit report on the effectiveness of our internal control over financial reporting as of <month> <num> <year> which is included in item <num> of this annual report on form <num> k,261,0,0,REMEDIATION,0,other,0,1,0,False,False,14.0,0,0,trainval,ISSUE,0.6584921324862348,0.1071537087465883,0.2343541587671767,0.6584921324862348,0.424137973719058,0,1,e5_logreg,disagreement,19,REMEDIATION,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,compensating review step before filing
380,0000717954_2023_4,24,"in response to the material weakness above, management is continuing to take actions to remediate the material weakness in internal control over financial reporting.",in response to the material weakness above management is continuing to take actions to remediate the material weakness in internal control over financial reporting,2023-08-26,717954,"ernst & young llp has issued an unqualified opinion on our financial statements, which is included in item 8 of this annual report on form 10-k.",ernst young llp has issued an unqualified opinion on our financial statements which is included in item <num> of this annual report on form <num> k,163,0,1,REMEDIATION,0,other,0,1,0,False,True,14.0,0,0,trainval,REMEDIATION,0.3801271882617934,0.408783700985888,0.2110891107523185,0.408783700985888,0.0286565127240946,1,0,e5_logreg,margin,20,OTHER,0,0,status,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,generic ongoing remediation status
412,0001014739_2005_4,24,the need for an improved process to quantify and document the company’s estimates for uncollectible accounts receivable.,the need for an improved process to quantify and document the company s estimates for uncollectible accounts receivable,2005-12-31,1014739,ineffective processes and controls to ensure timely application of customer payments to customer accounts receivable; and .,ineffective processes and controls to ensure timely application of customer payments to customer accounts receivable and,119,1,0,OTHER,0,effect,0,0,0,False,False,28.0,0,1,trainval,ISSUE,0.4968722872458738,0.4733295281047979,0.0297981846493281,0.4968722872458738,0.0235427591410758,1,0,e5_logreg,margin,21,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
447,0001014739_2005_4,60,the transaction volume exceeded our human resource capacity.,the transaction volume exceeded our human resource capacity,2005-12-31,1014739,"table of contents. former employees, and created new processes.",table of contents former employees and created new processes,59,1,0,REMEDIATION,0,other,0,1,0,False,False,28.0,0,0,trainval,OTHER,0.210060055317669,0.3820765913095427,0.4078633533727883,0.4078633533727883,0.0257867620632455,1,0,e5_logreg,margin,22,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
560,0000899166_2007_4,14,"despite our assessment that our system of internal control over financial reporting is ineffective and the list of material weaknesses identified above, we believe that our consolidated financial statements contained in this form 10-k filed with the sec fairly present our financial position, results of operations and cash flows for all years covered thereby in all material respects.",despite our assessment that our system of internal control over financial reporting is ineffective and the list of material weaknesses identified above we believe that our consolidated financial statements contained in this form <num> k filed with the sec fairly present our financial position results of operations and cash flows for all years covered thereby in all material respects,2007-12-31,899166,"although we executed procedures and performed all accounting functions in our process control areas, we did not provide sufficient evidence that management had reviewed certain journal entries, bank reconciliations, registers, analytical reviews, consolidation work papers and disclosure checklists.",although we executed procedures and performed all accounting functions in our process control areas we did not provide sufficient evidence that management had reviewed certain journal entries bank reconciliations registers analytical reviews consolidation work papers and disclosure checklists,385,0,0,REMEDIATION,0,other,0,1,0,True,False,2.0,0,0,trainval,ISSUE,0.5080800171249705,0.0039925905657269,0.4879273923093026,0.5080800171249705,0.0201526248156679,1,0,e5_logreg,margin,27,OTHER,0,0,effect,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,fairly present assertion despite ineffective controls
568,0001285224_2010_4,18,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer.,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer,2010-12-31,1285224,"additionally, these processes lacked effective supervision and oversight by the former chief executive officer and other lending management personnel.",additionally these processes lacked effective supervision and oversight by the former chief executive officer and other lending management personnel,170,0,0,OTHER,0,background,0,0,0,False,False,26.0,0,1,trainval,ISSUE,0.4136982109712752,0.4093363881797707,0.1769654008489539,0.4136982109712752,0.0043618227915044,1,0,e5_logreg,margin,29,OTHER,0,0,background,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,executive change background
569,0001285224_2010_4,19,provision for loan losses.,provision for loan losses,2010-12-31,1285224,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer.,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer,25,1,0,OTHER,0,background,0,0,0,False,False,26.0,0,1,trainval,OTHER,0.4682966603162842,0.0578675645393433,0.4738357751443725,0.4738357751443725,0.0055391148280882,1,0,e5_logreg,margin,30,OTHER,0,1,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,fragment only
573,0001285224_2010_4,23,the consolidated financial statements contained in this annual report on form 10-k reflect such material adjustments.,the consolidated financial statements contained in this annual report on form <num> k reflect such material adjustments,2010-12-31,1285224,"in addition, there was an increase in the classification of nonperforming loans of $6.6 million.",in addition there was an increase in the classification of nonperforming loans of $ <num> <num> million,119,1,0,ISSUE,0,other,1,0,0,False,False,26.0,0,0,trainval,ISSUE,0.5730476901045585,0.0225628622204963,0.4043894476749452,0.5730476901045585,0.1686582424296132,1,0,e5_logreg,disagreement,31,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
576,0001285224_2010_4,27,"promptly following the identification of the material weakness as described above in management's annual report on internal control over financial reporting, management, with the oversight of the audit committee began taking steps to remediate the material weakness.",promptly following the identification of the material weakness as described above in management s annual report on internal control over financial reporting management with the oversight of the audit committee began taking steps to remediate the material weakness,2010-12-31,1285224,remediation efforts in 2011 .,remediation efforts in <year>,263,0,0,REMEDIATION,0,other,0,1,0,False,True,26.0,0,0,trainval,ISSUE,0.4587863207621485,0.4351772694985105,0.1060364097393409,0.4587863207621485,0.0236090512636379,1,0,e5_logreg,margin,32,OTHER,0,0,status,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,generic began taking steps language
666,0000827054_2019_4,25,"in connection with the identified material weaknesses related to accounting for income taxes and to it system access, we have taken steps to remediate the material weaknesses as described above.",in connection with the identified material weaknesses related to accounting for income taxes and to it system access we have taken steps to remediate the material weaknesses as described above,2019-03-31,827054,"changes in internal control over financial reporting on may 29, 2018, we completed our acquisition of microsemi which operated under its own set of systems and internal controls.",changes in internal control over financial reporting on <month> <num> <year> we completed our acquisition of microsemi which operated under its own set of systems and internal controls,192,0,0,REMEDIATION,0,other,0,1,0,False,True,15.0,0,0,trainval,ISSUE,0.5433542524916225,0.4207281492768263,0.0359175982315511,0.5433542524916225,0.1226261032147962,1,0,e5_logreg,disagreement,36,OTHER,0,1,status,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,generic remediation reference without concrete step
678,0001517022_2023_4,17,"remediation of previously identified material weakness - product return reserves as disclosed in our 2022 annual report on form 10-k/a, our management identified a material weakness in our internal control over financial reporting relating to product return reserves.",remediation of previously identified material weakness product return reserves as disclosed in our <year> annual report on form <num> k a our management identified a material weakness in our internal control over financial reporting relating to product return reserves,2023-12-31,1517022,"until the controls have been operating for a sufficient period of time and management has concluded, through testing, that these controls are operating effectively, the material weakness described above will continue to exist.",until the controls have been operating for a sufficient period of time and management has concluded through testing that these controls are operating effectively the material weakness described above will continue to exist,268,0,0,REMEDIATION,0,other,0,1,0,False,True,9.0,0,0,trainval,ISSUE,0.5576910812228514,0.0237509847860668,0.4185579339910816,0.5576910812228514,0.1391331472317697,1,0,e5_logreg,disagreement,37,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
686,0001704711_2023_4,6,"information and communication – we have not completed the design and operation of gitcs, supporting change management, user access and segregation of duties controls within our us erp and systems related to our digital collectibles business.",information and communication we have not completed the design and operation of gitcs supporting change management user access and segregation of duties controls within our us erp and systems related to our digital collectibles business,2023-12-31,1704711,"the following previously identified material weaknesses remain unremediated as of december 31, 2023.",the following previously identified material weaknesses remain unremediated as of <month> <num> <year>,236,0,0,OTHER,0,background,0,0,0,False,False,10.0,0,1,trainval,ISSUE,0.557299468480272,0.1200799481468577,0.3226205833728702,0.557299468480272,0.2346788851074018,0,1,e5_logreg,disagreement,38,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
777,0001472595_2014_4,16,"december 31, 2014, our disclosure controls and procedures were not effective.",<month> <num> <year> our disclosure controls and procedures were not effective,2014-12-31,1472595,"based on our identification of material weaknesses in internal control over financial reporting described above (which we view as an integral part of our disclosure controls), our inability to file our annual reports on form 10-k for the fiscal year ended december 31, 2014, and our quarterly report on form 10-q for the quarterly periods in 2014 within the statutory time periods, and the evaluation that we have performed, our chief executive officer and chief financial officer concluded that, as of.",based on our identification of material weaknesses in internal control over financial reporting described above which we view as an integral part of our disclosure controls our inability to file our annual reports on form <num> k for the fiscal year ended <month> <num> <year> and our quarterly report on form <num> q for the quarterly periods in <year> within the statutory time periods and the evaluation that we have performed our chief executive officer and chief financial officer concluded that as of,78,1,0,OTHER,0,background,0,0,0,True,False,17.0,0,1,trainval,OTHER,0.482985383533167,0.0009273755877107,0.5160872408791223,0.5160872408791223,0.0331018573459552,1,0,e5_logreg,margin,41,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
787,0001754195_2023_4,9,"in response to the identified material weaknesses, management, with the oversight of the audit committee of the board of directors, has taken a number of remediation actions during the year ending december 31, 2023, and continues to address these deficiencies.",in response to the identified material weaknesses management with the oversight of the audit committee of the board of directors has taken a number of remediation actions during the year ending <month> <num> <year> and continues to address these deficiencies,2023-12-31,1754195,"ineffective design, implementation, and documentation of management review controls related to the valuation of inventory.",ineffective design implementation and documentation of management review controls related to the valuation of inventory,258,0,1,REMEDIATION,0,other,0,1,0,False,True,8.0,0,0,trainval,OTHER,0.2087668818959482,0.3844824949056377,0.4067506231984141,0.4067506231984141,0.0222681282927763,1,0,e5_logreg,margin,42,OTHER,0,0,status,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,generic remediation summary without concrete step
880,0001069899_2020_4,12,"certain personnel had access to financial applications, programs and data beyond that needed to perform their individual job responsibilities and without independent monitoring.",certain personnel had access to financial applications programs and data beyond that needed to perform their individual job responsibilities and without independent monitoring,2020-06-30,1069899,"we did not design and maintain effective internal controls to ensure processing and reporting of valid transactions is complete, accurate, and timely.",we did not design and maintain effective internal controls to ensure processing and reporting of valid transactions is complete accurate and timely,175,0,0,OTHER,0,background,0,0,0,False,False,18.0,0,1,trainval,REMEDIATION,0.4111225720063275,0.4459414148657097,0.1429360131279626,0.4459414148657097,0.0348188428593821,1,0,e5_logreg,margin,48,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
908,0000077281_2021_4,21,the company took the following steps in 2021 toward remediation of the material weakness discussed in the prior year.,the company took the following steps in <year> toward remediation of the material weakness discussed in the prior year,2021-12-31,77281,"while our remediation activities in 2021 did result in attracting and retaining sufficient personnel with requisite financial expertise and appropriately considering risks of fraud, including the possibility of management override of controls and proper segregation of duties, our remediation activities remain ongoing.",while our remediation activities in <year> did result in attracting and retaining sufficient personnel with requisite financial expertise and appropriately considering risks of fraud including the possibility of management override of controls and proper segregation of duties our remediation activities remain ongoing,118,1,0,REMEDIATION,0,other,0,1,0,False,True,12.0,0,0,trainval,REMEDIATION,0.1284517576803852,0.4450200052290067,0.426528237090608,0.4450200052290067,0.0184917681383986,1,0,e5_logreg,margin,51,OTHER,0,1,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,lead-in to remediation list
977,0000799850_2025_4,22,"however, no assurance can be given that these changes will remediate the material weakness until such time that the controls have operated for a sufficient period of time and their operating effectiveness has been tested.",however no assurance can be given that these changes will remediate the material weakness until such time that the controls have operated for a sufficient period of time and their operating effectiveness has been tested,2025-04-30,799850,enhanced training programs for control operators.,enhanced training programs for control operators,219,0,1,REMEDIATION,0,other,0,1,0,False,True,16.0,0,0,trainval,ISSUE,0.4941611314850547,0.0215195062163413,0.4843193622986039,0.4941611314850547,0.0098417691864508,1,0,e5_logreg,margin,53,OTHER,0,0,status,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,remediation not yet proven effective
980,0001040570_2007_4,13,during the 2007 year-end procedures for calculating the annual income tax provision the company reassessed the application of the pre-reorganization nols against 2007 taxable income with regard to a change of control as defined in section 382 of the internal revenue code of 1986.,during the <year> year end procedures for calculating the annual income tax provision the company reassessed the application of the pre reorganization nols against <year> taxable income with regard to a change of control as defined in section <num> of the internal revenue code of <year>,2007-12-31,1040570,85 . income taxes and utilization of net operating loss (“nol”) carryforwards.,<num> income taxes and utilization of net operating loss nol carryforwards,287,0,0,OTHER,0,background,0,0,0,False,False,,0,1,trainval,ISSUE,0.5848497870684375,0.1804161017157835,0.234734111215779,0.5848497870684375,0.3501156758526584,0,1,e5_logreg,disagreement,54,OTHER,0,0,background,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,tax reassessment procedure description
1043,0001129633_2015_4,45,ineffective controls over the application of u.s.,ineffective controls over the application of u s,2015-12-31,1129633,&#9702; designed and implemented review and approval controls for the assumptions used in the determination of actuarially derived insurance policy liability estimates.,<year> designed and implemented review and approval controls for the assumptions used in the determination of actuarially derived insurance policy liability estimates,48,1,0,REMEDIATION,0,other,0,1,0,False,False,9.0,0,0,test,OTHER,0.4807575156345192,0.0036879794884904,0.5155545048769903,0.5155545048769903,0.0347969892424711,1,0,e5_logreg,margin,61,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
1065,0001129633_2015_4,67,&#9702; established an accounting policy to reflect the risk of counterparty non-performance in the company’s estimates of derivative fair value.,<year> established an accounting policy to reflect the risk of counterparty non performance in the company s estimates of derivative fair value,2015-12-31,1129633,"principally, the remediation efforts included.",principally the remediation efforts included,143,0,0,REMEDIATION,0,other,0,1,0,False,False,9.0,0,0,test,ISSUE,0.3745381205512825,0.2687239515502748,0.3567379278984426,0.3745381205512825,0.0178001926528399,1,0,e5_logreg,margin,62,REMEDIATION,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
1095,0001129633_2015_4,97,"we have taken, or will take, the following actions.",we have taken or will take the following actions,2015-12-31,1129633,"the company has planned and will implement significant measures in an effort to remediate its material weaknesses that remain as of december 31, 2015; each designed to address key risks within the organization and remediate the root cause of the identified deficiencies.",the company has planned and will implement significant measures in an effort to remediate its material weaknesses that remain as of <month> <num> <year> each designed to address key risks within the organization and remediate the root cause of the identified deficiencies,48,1,0,REMEDIATION,0,other,0,1,0,False,False,9.0,0,0,test,REMEDIATION,0.0078478652882341,0.4988968038247881,0.4932553308869776,0.4988968038247881,0.0056414729378105,1,0,e5_logreg,margin,65,OTHER,0,1,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,lead-in header for action list
1131,0001624322_2024_4,21,"management’s remediation plan as noted above, during management’s assessment of internal control over financial reporting, a material weakness was identified related to the design and operation of itgcs at our third party service provider.",management s remediation plan as noted above during management s assessment of internal control over financial reporting a material weakness was identified related to the design and operation of itgcs at our third party service provider,2024-12-31,1624322,"the effectiveness of our internal control over financial reporting as of december 31, 2024 has also been audited by forvis mazars, llp, an independent registered public accounting firm, as stated in their report which is included herein.",the effectiveness of our internal control over financial reporting as of <month> <num> <year> has also been audited by forvis mazars llp an independent registered public accounting firm as stated in their report which is included herein,236,0,0,REMEDIATION,0,other,0,1,0,True,True,21.0,0,0,trainval,ISSUE,0.5878787688294461,0.1937758879808757,0.2183453431896781,0.5878787688294461,0.369533425639768,0,1,e5_logreg,disagreement,66,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
1142,0000072911_2005_4,8,"52; . lack of sufficient personnel with appropriate knowledge, experience and training in u.s.",<num> lack of sufficient personnel with appropriate knowledge experience and training in u s,2005-12-31,72911,"these material weaknesses, which are the same material weaknesses that existed as at december 31, 2004 and as first reported in our 2003 annual report, are. lack of compliance with written nortel procedures for monitoring and adjusting balances related to certain accruals and provisions, including restructuring charges and contract and customer accruals; . lack of compliance with nortel procedures for appropriately applying applicable gaap to the initial recording of certain liabilities, including those described in sfas no. 5, and to foreign currency translation as described in sfas no.",these material weaknesses which are the same material weaknesses that existed as at <month> <num> <year> and as first reported in our <year> annual report are lack of compliance with written nortel procedures for monitoring and adjusting balances related to certain accruals and provisions including restructuring charges and contract and customer accruals lack of compliance with nortel procedures for appropriately applying applicable gaap to the initial recording of certain liabilities including those described in sfas no <num> and to foreign currency translation as described in sfas no,92,1,0,OTHER,0,background,0,0,0,False,False,10.0,0,1,trainval,ISSUE,0.5690640333058918,0.0420130030869086,0.3889229636071996,0.5690640333058918,0.1801410696986922,1,0,e5_logreg,disagreement,70,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
1229,0001087934_2014_4,16,we have initiated and/or completed the following actions once the material weakness was identified in the fourth quarter of 2014.,we have initiated and or completed the following actions once the material weakness was identified in the fourth quarter of <year>,2014-12-31,1087934,"41 remediation efforts in response to the material weakness described above, our management, with the oversight from our audit committee of the board of directors, plans to take measures to remediate the underlying causes of the material weakness.",<num> remediation efforts in response to the material weakness described above our management with the oversight from our audit committee of the board of directors plans to take measures to remediate the underlying causes of the material weakness,130,1,0,REMEDIATION,0,other,0,1,0,True,False,13.0,0,0,trainval,REMEDIATION,0.4473996984789783,0.4481199634413579,0.1044803380796637,0.4481199634413579,0.0007202649623795,1,0,e5_logreg,margin,73,OTHER,0,1,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,lead-in header for action list
1238,0001504747_2014_4,9,&#9679; we did not maintain effective controls over certain control activities.,<year> we did not maintain effective controls over certain control activities,2014-12-31,1504747,&#9679; we did not maintain an effective control environment as we lacked sufficient oversight of activities related to our internal control over financial reporting.,<year> we did not maintain an effective control environment as we lacked sufficient oversight of activities related to our internal control over financial reporting,77,1,0,OTHER,0,background,0,0,0,True,False,28.0,0,1,trainval,OTHER,0.4951748353496931,0.0024320239021272,0.5023931407481795,0.5023931407481795,0.0072183053984863,1,0,e5_logreg,margin,75,ISSUE,0,0,other,codex_round2_pass1,guideline_v1_round2_stage_a_pass1,
