row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,sampling_bucket,is_boundary_case,legacy_suggested_label,legacy_suggested_mixed_ab,legacy_suggested_needs_context,legacy_suggested_c_subtype,label_main_pass2,flag_mixed_ab_pass2,flag_needs_context_pass2,c_subtype_pass2,annotator,note,label_version,blind_pass_order,label_main_pass1,flag_mixed_ab_pass1,flag_needs_context_pass1,c_subtype_pass1,label_changed,mixed_changed,needs_changed,subtype_changed,has_any_disagreement,disagreement_type
744,0000918958_2006_4,16,"we identified that the selection, application and monitoring of accounting policies utilized by a consolidated subsidiary resulted in the incorrect application of generally accepted accounting principles associated with accounting for refundable fees for club member services.",we identified that the selection application and monitoring of accounting policies utilized by a consolidated subsidiary resulted in the incorrect application of generally accepted accounting principles associated with accounting for refundable fees for club member services,2006-12-31,918958,refundable fees for club member services.,refundable fees for club member services,274,0,0,OTHER,1,effect,1,1,0,False,False,9.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,11,ISSUE,0,0,,False,False,False,False,False,none
1002,0000798081_2009_4,17,"this control deficiency resulted in an adjustment to our april 30, 2008 financial statements and could have resulted in an overstatement of cost of sales and operating expenses that would have resulted in an understatement of net earnings in the amount of $127,000 to the interim financial statements if not detected and prevented.",this control deficiency resulted in an adjustment to our <month> <num> <year> financial statements and could have resulted in an overstatement of cost of sales and operating expenses that would have resulted in an understatement of net earnings in the amount of $ <num> <num> to the interim financial statements if not detected and prevented,2009-01-31,798081,we believe the above remediation steps will provide us with the infrastructure and processes necessary to accurately prepare our financial statements on a quarterly basis.,we believe the above remediation steps will provide us with the infrastructure and processes necessary to accurately prepare our financial statements on a quarterly basis,341,0,1,OTHER,1,effect,1,1,0,False,False,13.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,1,effect,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,12,ISSUE,0,0,,False,False,False,False,False,none
1311,0000834285_2021_4,22,these material weaknesses could result in misstatements of the aforementioned accounts and disclosures that would result in a material misstatement to the annual or interim consolidated financial statements that would not be prevented or detected.,these material weaknesses could result in misstatements of the aforementioned accounts and disclosures that would result in a material misstatement to the annual or interim consolidated financial statements that would not be prevented or detected,2021-12-31,834285,this material weakness resulted in an adjustment to the company’s disclosures related to the adoption of topic 326.,this material weakness resulted in an adjustment to the company s disclosures related to the adoption of topic <num>,246,0,1,ISSUE,0,other,1,0,0,False,False,26.0,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,13,ISSUE,0,0,,False,False,False,False,False,none
546,0000890801_2005_4,11,"hence, management concluded there is a more than remote likelihood that a material misstatement of the financial statements would not have been prevented or detected.",hence management concluded there is a more than remote likelihood that a material misstatement of the financial statements would not have been prevented or detected,2005-12-31,890801,"because the controls did not operate consistently in a timely manner throughout the interim periods of 2005, there was insufficient evidence at december 31, 2005 to demonstrate that the 2004 material weakness related to the financial close process had been remediated.",because the controls did not operate consistently in a timely manner throughout the interim periods of <year> there was insufficient evidence at <month> <num> <year> to demonstrate that the <year> material weakness related to the financial close process had been remediated,164,0,0,OTHER,1,background,1,1,0,False,False,8.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,background,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,14,ISSUE,0,0,,False,False,False,False,False,none
1394,0000089089_2007_4,43,insufficient or ineffective review and approval of certain account reconciliations resulting in errors not being prevented or detected in a timely manner.,insufficient or ineffective review and approval of certain account reconciliations resulting in errors not being prevented or detected in a timely manner,2007-12-31,89089,"high turnover within the accounting and finance function, which led to the extensive use of contract and temporary resources to prepare certain account reconciliations; and .",high turnover within the accounting and finance function which led to the extensive use of contract and temporary resources to prepare certain account reconciliations and,153,0,0,OTHER,1,background,1,1,0,False,False,25.0,1,0,test,legacy_issue_and_remediation,1,OTHER,1,0,background,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,15,ISSUE,0,0,,False,False,False,False,False,none
1323,0000886163_2005_4,7,"additionally, management’s process for assessing the company’s internal control over financial reporting, as of december 31, 2005 was delayed as a result of the restatement of the company’s prior years’ consolidated financial statements which did not conclude until late 2005.",additionally management s process for assessing the company s internal control over financial reporting as of <month> <num> <year> was delayed as a result of the restatement of the company s prior years consolidated financial statements which did not conclude until late <year>,2005-12-31,886163,"therefore, four of the six material weaknesses identified prior to december 31, 2004 continued to exist at december 31, 2005 as described in more detail below.",therefore four of the six material weaknesses identified prior to <month> <num> <year> continued to exist at <month> <num> <year> as described in more detail below,277,0,0,OTHER,1,effect,1,1,0,False,False,4.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,16,ISSUE,0,0,,False,False,False,False,False,none
1162,0000929940_2007_4,19,"this weakness contributed to the restatement of the financial statements for fiscal 2005 and 2006, as discussed in note 17 of the notes to the consolidated financial statements, and material post closing adjustments reflected in the financial statements as of and for fiscal 2007.",this weakness contributed to the restatement of the financial statements for fiscal <year> and <year> as discussed in note <num> of the notes to the consolidated financial statements and material post closing adjustments reflected in the financial statements as of and for fiscal <year>,2007-06-30,929940,controls also did not operate to ensure that only eligible assets were initially transferred under the receivable sale facilities.,controls also did not operate to ensure that only eligible assets were initially transferred under the receivable sale facilities,286,0,1,ISSUE,0,other,1,0,0,False,False,37.0,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,17,ISSUE,0,0,,False,False,False,False,False,none
233,0001036968_2006_4,34,this control deficiency resulted in audit adjustments to our fiscal 2006 interim and annual consolidated financial statements.,this control deficiency resulted in audit adjustments to our fiscal <year> interim and annual consolidated financial statements,2006-12-31,1036968,"specifically, we did not maintain effective controls over the completeness, accuracy and validity of spreadsheets used in our financial reporting process to maintain effective version control and ensure that access was restricted to appropriate personnel, and that unauthorized modification of the data or formulas within spreadsheets was prevented.",specifically we did not maintain effective controls over the completeness accuracy and validity of spreadsheets used in our financial reporting process to maintain effective version control and ensure that access was restricted to appropriate personnel and that unauthorized modification of the data or formulas within spreadsheets was prevented,127,1,1,ISSUE,0,other,1,0,0,False,False,,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,18,ISSUE,0,0,,False,False,False,False,False,none
477,0001076784_2008_4,15,"this sales cut-off error resulted in understatement of sales, accounts receivable by approximately $4.2 million, cost of goods sold and pre-tax income by approximately $3.6 million and $0.6 million, respectively, and overstatement of inventory by approximately $3.6 million.",this sales cut off error resulted in understatement of sales accounts receivable by approximately $ <num> <num> million cost of goods sold and pre tax income by approximately $ <num> <num> million and $ <num> <num> million respectively and overstatement of inventory by approximately $ <num> <num> million,2008-12-31,1076784,the company did not identify material sales cut-off errors as part of its period end closing process.,the company did not identify material sales cut off errors as part of its period end closing process,305,0,1,ISSUE,0,other,1,0,0,False,False,18.0,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,19,ISSUE,0,0,,False,False,False,False,False,none
1218,0000929940_2007_4,80,"among other things, any unremediated material weaknesses could result in material post-closing adjustments in future financial statements.",among other things any unremediated material weaknesses could result in material post closing adjustments in future financial statements,2007-06-30,929940,"while this implementation phase is underway, we are relying on extensive manual procedures, including regular reviews, to assist us with meeting the objectives otherwise fulfilled by an effective internal control environment.",while this implementation phase is underway we are relying on extensive manual procedures including regular reviews to assist us with meeting the objectives otherwise fulfilled by an effective internal control environment,136,1,0,OTHER,1,effect,1,1,0,False,False,37.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,20,ISSUE,0,0,,False,False,False,False,False,none
66,0000910638_2007_4,29,we reviewed the effect of this material weakness on each accounting period that was affected and concluded that it did not result in a material misstatement of our financial statements in any accounting period.,we reviewed the effect of this material weakness on each accounting period that was affected and concluded that it did not result in a material misstatement of our financial statements in any accounting period,2007-12-31,910638,certain processes adopted by this service provider affected the accurate accounting for inventory and our timing of the recognition of the related revenue.,certain processes adopted by this service provider affected the accurate accounting for inventory and our timing of the recognition of the related revenue,209,0,0,OTHER,1,effect,1,1,0,False,False,6.0,1,0,test,legacy_issue_and_remediation,1,OTHER,1,0,effect,OTHER,0,0,effect,codex_pass2,effect statement rather than direct issue/action,guideline_v1_round1_pass2,21,ISSUE,0,0,,True,False,False,True,True,ISSUE->OTHER
1220,0000929940_2007_4,82,"risk factors—in preparing our consolidated financial statements, we identified material weaknesses in our internal control over financial reporting, and our failure to remedy effectively the five material weaknesses identified as of june 30, 2007 could result in material misstatements in our financial statements"" in part i of this form 10-k.",risk factors in preparing our consolidated financial statements we identified material weaknesses in our internal control over financial reporting and our failure to remedy effectively the five material weaknesses identified as of <month> <num> <year> could result in material misstatements in our financial statements in part i of this form <num> k,2007-06-30,929940,"furthermore, any such unremediated material weaknesses could have the effects described in ""item 1a.",furthermore any such unremediated material weaknesses could have the effects described in item 1a,349,0,0,OTHER,1,effect,1,1,0,False,False,37.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,22,ISSUE,0,0,,False,False,False,False,False,none
510,0001311241_2015_4,20,"if our efforts to remediate these material weaknesses are not successful or if other deficiencies occur, our ability to accurately and timely report our financial position, results of operations, cash flows or key operating metrics could be impaired, which could result in late filings of our annual and quarterly reports under the exchange act, restatements of our consolidated financial statements or other corrective disclosures.",if our efforts to remediate these material weaknesses are not successful or if other deficiencies occur our ability to accurately and timely report our financial position results of operations cash flows or key operating metrics could be impaired which could result in late filings of our annual and quarterly reports under the exchange act restatements of our consolidated financial statements or other corrective disclosures,2015-12-31,1311241,"we cannot assure you that we will be able to remediate our existing material weaknesses in a timely manner, if at all, or that in the future, additional material weaknesses will not exist, reoccur or otherwise be discovered, a risk that is significantly increased in light of the complexity of our business.",we cannot assure you that we will be able to remediate our existing material weaknesses in a timely manner if at all or that in the future additional material weaknesses will not exist reoccur or otherwise be discovered a risk that is significantly increased in light of the complexity of our business,426,0,0,OTHER,1,effect,1,1,0,False,True,15.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,OTHER,0,0,effect,codex_pass2,effect statement rather than direct issue/action,guideline_v1_round1_pass2,23,ISSUE,0,0,,True,False,False,True,True,ISSUE->OTHER
993,0000096831_2006_4,9,"this control deficiency resulted in the restatement of our 2005 quarterly consolidated financial statements, the consolidated financial statements for the first and second quarters of 2006 and adjustments to the consolidated financial statements for the third quarter of 2006, affecting accrued liabilities, tax expense (benefit), and income from discontinued operations, net of tax.",this control deficiency resulted in the restatement of our <year> quarterly consolidated financial statements the consolidated financial statements for the first and second quarters of <year> and adjustments to the consolidated financial statements for the third quarter of <year> affecting accrued liabilities tax expense benefit and income from discontinued operations net of tax,2006-12-31,96831,"specifically, we did not maintain effective controls to ensure the completeness and accuracy of . state income tax expense associated with a division accounted for as a discontinued operation in 2006, (ii) the effective tax rates applied to foreign operations, and (iii) the allocation of federal income tax expense between continuing and discontinued operations.",specifically we did not maintain effective controls to ensure the completeness and accuracy of state income tax expense associated with a division accounted for as a discontinued operation in <year> ii the effective tax rates applied to foreign operations and iii the allocation of federal income tax expense between continuing and discontinued operations,381,0,1,ISSUE,0,other,1,0,0,False,False,,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,24,ISSUE,0,0,,False,False,False,False,False,none
634,0000028823_2018_4,18,"these control deficiencies resulted in misstatements to goodwill impairment, inventory and redeemable non-controlling interests all of which were corrected prior to issuance of the company’s consolidated financial statements as of and for the year ended december 31, 2018 included in this annual report on form 10-k.",these control deficiencies resulted in misstatements to goodwill impairment inventory and redeemable non controlling interests all of which were corrected prior to issuance of the company s consolidated financial statements as of and for the year ended <month> <num> <year> included in this annual report on form <num> k,2018-12-31,28823,the company had ineffective controls over non-routine transactions as certain controls were not designed at the appropriate level of precision to ensure calculations supporting non-routine transaction were calculated correctly.,the company had ineffective controls over non routine transactions as certain controls were not designed at the appropriate level of precision to ensure calculations supporting non routine transaction were calculated correctly,320,0,1,ISSUE,0,other,1,0,0,False,False,22.0,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,25,ISSUE,0,0,,False,False,False,False,False,none
901,0000077281_2021_4,12,"these deficiencies related to. identifying and assessing risks of misstatement to ensure management review controls are designed, implemented, and operating at a level to effectively respond to those risks, (ii) monitoring the consistent operation of internal control over financial reporting and remediation of known control deficiencies, and (iii) evaluating the reliability of information used in management review controls.",these deficiencies related to identifying and assessing risks of misstatement to ensure management review controls are designed implemented and operating at a level to effectively respond to those risks ii monitoring the consistent operation of internal control over financial reporting and remediation of known control deficiencies and iii evaluating the reliability of information used in management review controls,2021-12-31,77281,we identified deficiencies in the design or operating effectiveness of certain management review controls.,we identified deficiencies in the design or operating effectiveness of certain management review controls,417,0,1,OTHER,1,background,1,1,0,False,True,12.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,1,background,OTHER,0,0,other,codex_pass2,,guideline_v1_round1_pass2,26,ISSUE,0,0,,True,False,False,True,True,ISSUE->OTHER
219,0001036968_2006_4,20,this control deficiency resulted in audit adjustments to our fiscal 2006 interim and annual consolidated financial statements.,this control deficiency resulted in audit adjustments to our fiscal <year> interim and annual consolidated financial statements,2006-12-31,1036968,"specifically, we did not have effective controls over the process for identifying, accumulating and reviewing all required supporting information to ensure the completeness, accuracy and timely preparation and review of our consolidated financial statements and disclosures.",specifically we did not have effective controls over the process for identifying accumulating and reviewing all required supporting information to ensure the completeness accuracy and timely preparation and review of our consolidated financial statements and disclosures,127,1,1,ISSUE,0,other,1,0,0,False,False,,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,27,ISSUE,0,0,,False,False,False,False,False,none
929,0001494259_2022_4,20,"however, the material weakness could have resulted in material misstatements in our interim or annual financial statements and disclosures which then may not have been prevented or detected.",however the material weakness could have resulted in material misstatements in our interim or annual financial statements and disclosures which then <month> not have been prevented or detected,2022-12-31,1494259,this material weakness did not result in a known material misstatement to our financial statements.,this material weakness did not result in a known material misstatement to our financial statements,192,0,1,OTHER,1,effect,1,1,0,False,False,8.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,1,effect,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,28,ISSUE,0,0,,False,False,False,False,False,none
303,0000080035_2007_4,14,these control deficiencies resulted in various adjustments to the deferred tax balances.,these control deficiencies resulted in various adjustments to the deferred tax balances,2007-12-31,80035,"there was insufficient analysis, documentation and review of the company’s income tax accounts and supporting details, in particular as related to the company’s accounting for transfer pricing, reinvestment of undistributed foreign earnings, foreign earnings and profits pools, valuation allowances for deferred tax assets and the classification of deferred tax balances in the consolidated balance sheet.",there was insufficient analysis documentation and review of the company s income tax accounts and supporting details in particular as related to the company s accounting for transfer pricing reinvestment of undistributed foreign earnings foreign earnings and profits pools valuation allowances for deferred tax assets and the classification of deferred tax balances in the consolidated balance sheet,87,1,1,ISSUE,0,other,1,0,0,False,False,23.0,0,0,trainval,legacy_issue_only,1,ISSUE,0,1,other,OTHER,0,0,effect,codex_pass2,effect statement rather than direct issue/action,guideline_v1_round1_pass2,29,ISSUE,0,0,,True,False,False,True,True,ISSUE->OTHER
1321,0000886163_2005_4,5,"with respect to certain procedures performed in connection with the assessment process, the timing of such remediation efforts resulted in limitations on management’s ability to conclude that certain elements of the company’s internal control over financial reporting were operating effectively for a reasonable period of time prior to december 31, 2005.",with respect to certain procedures performed in connection with the assessment process the timing of such remediation efforts resulted in limitations on management s ability to conclude that certain elements of the company s internal control over financial reporting were operating effectively for a reasonable period of time prior to <month> <num> <year>,2005-12-31,886163,"based on the results of management’s assessment and evaluation, the ceo and cfo concluded that while certain of the remediation initiatives undertaken in response to material weaknesses identified during 2004 and discussed below have been completed, other remediation initiatives were either not fully implemented by december 31, 2005 or were completed during the fourth quarter of 2005.",based on the results of management s assessment and evaluation the ceo and cfo concluded that while certain of the remediation initiatives undertaken in response to material weaknesses identified during <year> and discussed below have been completed other remediation initiatives were either not fully implemented by <month> <num> <year> or were completed during the fourth quarter of <year>,355,0,0,OTHER,1,effect,1,1,0,False,True,4.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,30,OTHER,0,0,status,True,False,False,True,True,OTHER->ISSUE
671,0001517022_2023_4,9,"remediation efforts of the material weakness - inventories the control deficiencies described above resulted in certain accounting errors, including in our internal preliminary consolidated financial statements for the year ended december 31, 2023, that were corrected prior to the issuance of such annual consolidated financial statements.",remediation efforts of the material weakness inventories the control deficiencies described above resulted in certain accounting errors including in our internal preliminary consolidated financial statements for the year ended <month> <num> <year> that were corrected prior to the issuance of such annual consolidated financial statements,2023-12-31,1517022,"specifically, we did not maintain effective controls related to . the review of inventory reconciliations, (ii) the validation of the inventory costing, (iii) the classification of inventory within the balance sheet and cost of product and other revenue related costs in the statement of operations, (iv) the calculation of estimated excess firm purchase commitment liability and . the verification that the existence of all inventories subject to physical inventory counts were accurately counted.",specifically we did not maintain effective controls related to the review of inventory reconciliations ii the validation of the inventory costing iii the classification of inventory within the balance sheet and cost of product and other revenue related costs in the statement of operations iv the calculation of estimated excess firm purchase commitment liability and the verification that the existence of all inventories subject to physical inventory counts were accurately counted,338,0,0,OTHER,1,effect,1,1,0,False,True,9.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,ISSUE,0,1,,codex_pass2,awkward remediation header merged with problem statement,guideline_v1_round1_pass2,31,ISSUE,0,1,,False,False,False,False,False,none
738,0000918958_2006_4,10,"we identified that our preparation and review of the calculation of minority interest associated with our series a and series b preferred share offerings resulted in an incorrect allocation of net income between us and the other limited partners of the operating partnership, whom we refer to as unitholders.",we identified that our preparation and review of the calculation of minority interest associated with our series a and series b preferred share offerings resulted in an incorrect allocation of net income between us and the other limited partners of the operating partnership whom we refer to as unitholders,2006-12-31,918958,description and remediation of material weaknesses calculation of minority interest.,description and remediation of material weaknesses calculation of minority interest,306,0,0,OTHER,1,effect,1,1,0,False,False,9.0,1,0,trainval,legacy_issue_and_remediation,1,OTHER,1,0,effect,ISSUE,0,0,,codex_pass2,,guideline_v1_round1_pass2,32,ISSUE,0,0,,False,False,False,False,False,none
